title,description
Redmi Note 11,"A powerful budget phone with Snapdragon 680, 5000mAh battery, 50MP camera, and AMOLED display. Ideal for daily tasks and media consumption."
Realme Narzo 50,"Gaming-focused phone with MediaTek Helio G96, 120Hz display, 5000mAh battery, and triple-camera setup. Great for multitasking and casual gaming."
Samsung M13,"Affordable phone with a large 6.6-inch display, 6000mAh battery, and Exynos 850 processor. Best suited for long-lasting usage and basic tasks."
iQOO Z6,"Performance-centric phone with Snapdragon 695, 5G support, 120Hz refresh rate, and 50MP Eye Autofocus camera. Suitable for gaming and photography."
POCO M4 Pro,"Value-for-money device featuring AMOLED display, 64MP triple camera, 5000mAh battery, and MediaTek Helio G96. Offers a good multimedia experience."
OnePlus Nord CE 3 Lite,"Smooth performer with Snapdragon 695, 108MP camera, 67W SUPERVOOC fast charging, and 6.72'' LCD display. Balanced for daily use and camera lovers."
Motorola G73,"Stock Android experience with Dimensity 930, 50MP Ultra Pixel camera, stereo speakers, and 120Hz display. Good for clean UI and stable performance."
Infinix Zero 5G,"Affordable 5G phone with Dimensity 920 chipset, 120Hz display, and 5000mAh battery. Great choice for entry-level 5G users."
Vivo T2,"Stylish phone with Snapdragon 695, 64MP OIS camera, AMOLED display, and 44W fast charging. Designed for photography and sleek design lovers."
Samsung Galaxy A14 5G,"Reliable choice with Exynos 1330, 90Hz LCD display, 50MP main camera, and 5000mAh battery. Offers consistent performance and battery backup."
